"
","SVT - prepayment (market average)","Cheapest tariff - prepayment (all suppliers)","Prepayment price cap"
"28/12/2015",1163.44,1055.61,
"28/01/2016",1163.18,1055.61,
"28/02/2016",1158.61,1054.2,
"28/03/2016",1138.39,1051.22,
"28/04/2016",1131.32,1030.27,
"28/05/2016",1131.32,1017.61,
"28/06/2016",1131.32,985.97,
"28/07/2016",1130.22,985.97,
"28/08/2016",1130.22,985.97,
"28/09/2016",1130.22,985.97,
"28/10/2016",1130.22,985.97,
"28/11/2016",1122.72,985.97,
"28/12/2016",1122.72,985.97,
"28/01/2017",1115.77,985.97,
"28/02/2017",1061.14,970.67,
"28/03/2017",1059.99,970.67,
"28/04/2017",1032.3,970.67,1050.35
"28/05/2017",1032.3,979.27,1050.35
"28/06/2017",1032.3,979.27,1050.35
"28/07/2017",1032.69,979.27,1050.35
"28/08/2017",1031.31,979.27,1050.35
"28/09/2017",1034.46,979.27,1050.35
"28/10/2017",1030.6,978.04,1031.27
"28/11/2017",1030.6,978.04,1031.27
"28/12/2017",1030.6,957.12,1031.27
"28/01/2018",1030.72,960.06,1031.27
"28/02/2018",1030.72,945.76,1031.27
"28/03/2018",1030.85,945.76,1031.27
"28/04/2018",1079.09,946.63,1088.55
"28/05/2018",1086.2,946.63,1088.55
"28/06/2018",1086.19,946.63,1088.55
"28/07/2018",1086.08,946.63,1088.55
"28/08/2018",1086.06,946.54,1088.55
"28/09/2018",1086.06,983.86,1088.55
"28/10/2018",1135.42,983.86,1135.99
"28/11/2018",1135.42,983.86,1135.99
"28/12/2018",1135.42,983.86,1135.99
"28/01/2019",1135.23,1016.48,1135.99
"28/02/2019",1135.23,1023.39,1135.99
"28/03/2019",1135.23,1023.39,1135.99
"28/04/2019",1241.44,1023.39,1242.07
"28/05/2019",1241.44,1052.46,1242.07
"28/06/2019",1241.44,1052.46,1242.07
"28/07/2019",1241.52,1052.46,1242.07
"28/08/2019",1241.52,1052.46,1242.07
"28/09/2019",1240.25,1052.46,1242.07
"28/10/2019",1211.5,1044.49,1217
"28/11/2019",1211.5,1044.49,1217
"28/12/2019",1212.2,1044.49,1217
"28/01/2020",1208.82,1006.82,1217
"28/02/2020",1211.04,1006.82,1217
"28/03/2020",1211.04,1006.82,1217
"28/04/2020",1160.61,982.07,1164
"28/05/2020",1160.83,982.07,1164
"28/06/2020",1157.99,982.07,1164
"28/07/2020",1157.99,982.07,1164
"28/08/2020",1157.99,982.07,1164
"28/09/2020",1157.99,982.07,1164
"28/10/2020",1062.82,985.37,1070
"28/11/2020",1065.2,985.37,1070
"28/12/2020",1065.25,985.37,1070
"28/01/2021",1065.25,985.37,1070
"28/02/2021",1065.08,984.08,1070
"28/03/2021",1065.1,984.08,1070
"28/04/2021",1153.79,985.71,1156
"28/05/2021",1153.79,976.91,1156
"28/06/2021",1153.62,1068.52,1156
"28/07/2021",1153.62,1058.33,1156
"28/08/2021",1153.62,1058.33,1156
"28/09/2021",1153.62,1058.33,1156
"28/10/2021",1307.05,1279.2,1309
"28/11/2021",1302.37,1279.2,1309
"28/12/2021",1307.08,1279.2,1309
"28/01/2022",1307.08,1279.2,1309
"28/02/2022",1307.08,1279.2,1309
"28/03/2022",1307.08,1279.2,1309
"28/04/2022",2016.6,2014.72,2017
"28/05/2022",2016.6,2014.72,2017
"28/06/2022",2016.79,2014.72,2017
"28/07/2022",2016.79,2014.72,2017
